C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,UTS
0.1,0.34,1.33,0.011,0.008,0.01,0.05,0.06,0,0,0,0,0,0.06,0.015,0.07,0,0,0,496
0.193,0.19,1.35,0,0,0.482,0.922,0.009,0,0,0,0,0,0.128,0,0,0,0,0,577
0.099,0.196,0.701,0,0,0.962,2.5,0.023,0,0,0,0,0,0.143,0,0,0,0,0,644
0.06,0.22,1.55,0,0,1,1.46,0.023,0,0,0,0,0,0.15,0,0,0,0,0,629
0.18,0.24,1.42,0.017,0.004,0,0.84,0.014,0,0,0,0,0,0.12,0,0.14,0,0,0,622
0.18,0.08,1.43,0.008,0.003,0,0.78,0.005,0,0,0,0,0,0.04,0,0.06,0,0,0,547
0.18,0.1,1.46,0.006,0.003,0,0.86,0.018,0,0,0,0,0,0.15,0,0.03,0,0,0,584
0.21,0.24,1.36,0.007,0.002,0,0.92,0.022,0,0,0,0,0,0.21,0,0.03,0,0,0,595
0.17,0.25,1.44,0.004,0.002,0,0.75,0.016,0,0,0,0,0,0.2,0,0.01,0,0,0,607
0.069,0.11,1.45,0.009,0.003,0,0.5,0.007,0.0058,0,0,0.0024,0.011,0,0,0,0,0,0,441
0.08,0.11,1.44,0.01,0.004,0,0.51,0.006,0.0085,0,0,0.0025,0.012,0,0,0,0,0,0,442
0.062,0.1,1.46,0.01,0.004,0,0.51,0,0.006,0,0,0.0025,0.01,0,0,0,0,0,0,428
0.15,0.3,1.38,0.011,0.007,0,0,0.038,0.0051,0,0.05,0,0,0,0,0.25,0,0,0,551
0.15,0.31,1.38,0.009,0.009,0,0,0.037,0.0053,0,0.05,0,0,0,0,0.02,0,0,0,519
0.15,0.3,1.38,0.01,0.006,0,0,0.039,0.0045,0,0.06,0,0,0,0,0.02,0,0,0,524
0.15,0.31,1.4,0.01,0.007,0,0,0.036,0.0054,0,0.06,0,0,0,0,0.02,0,0,0,532
0.16,0.31,1.38,0.011,0.007,0,0,0.038,0.0056,0,0.05,0,0,0,0,0.02,0,0,0,536
0.16,0.31,1.37,0.009,0.009,0,0,0.038,0.0049,0,0.05,0,0,0,0,0.02,0,0,0,538
0.066,0.33,1.46,0.013,0.003,0.2,0,0.043,0.004,0,0.05,0,0,0,0,0,0,0,0,522
0.062,0.3,1.45,0.013,0.004,0.2,0,0.039,0.0038,0,0,0,0,0.2,0,0,0,0,0,502
