C,Si,Mn,P,S,Mo,Ni,Al,N,Nb,V,B,Ti,Cr,Ce,Cu,Ca,Zr,O,Temperature,Energy
0.17,0.36,1.16,0.019,0.008,0.004,0.022,0.002,0.003,0.001,0.002,0.0002,0.001,0.039,0,0.026,0,0,0,-51.19652839,27
0.14,0.22,0.82,0.014,0.017,0.002,0.021,0.002,0.004,0.001,0.002,0.0001,0.001,0.022,0,0.02,0,0,0,-41.23112456,27
0.13,0.22,0.83,0.024,0.011,0.002,0.019,0.001,0.004,0.001,0.002,0.0001,0.001,0.024,0,0.011,0,0,0,-50.07840769,27
0.13,0.22,0.81,0.016,0.018,0.004,0.019,0.004,0.003,0.001,0.002,0.0001,0.001,0.038,0,0.015,0,0,0,-49.71245495,27
0.14,0.22,1.03,0.008,0.015,0.003,0.022,0.032,0.004,0.001,0.002,0.0001,0.001,0.023,0,0.012,0,0,0,-42.40007258,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-57,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-59,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-100,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-82,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-72,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-85,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-61,27
0.16,0.2,1.06,0.013,0.012,0,0,0.04,0.004,0.001,0.009,0,0.001,0,0,0,0,0,0,-87,27
0.1,0.17,0.91,0.01,0.013,0,0.02,0.03,0.007,0.001,0,0,0,0.01,0,0.01,0,0,0,-35,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-16,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-20,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-52,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-33,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-38,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-62,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-13,27
0.07,0.07,0.41,0.014,0.01,0,0,0.056,0.005,0.0025,0.018,0,0.001,0,0,0,0,0,0,-30,27
0.092,0.2,1.41,0.005,0.004,0,0,0.039,0.0067,0.003,0.003,0.0003,0,0,0,0,0,0,0,-75,27
0.084,0.21,1.42,0.005,0.002,0,0,0.031,0.0047,0.003,0.05,0.0004,0,0,0,0,0,0,0,-85,27
